customer_id,age,gender,region,tenure_months,contract_type,usage_prev_30d_gb,usage_last_30d_gb,avg_call_minutes,support_tickets_last_90d,avg_ticket_resolution_days,monthly_charges,total_charges,late_payments_last_6m,payment_method,churn
100000,23,Female,South,66,Month-to-month,6.94,7.76,147.6,1,0.61,73.45,4998.21,1,Bank transfer,0
100001,62,Female,North,37,Month-to-month,31.76,14.84,55.6,0,3.08,117.66,4256.82,1,Digital wallet,1
100002,55,Female,East,44,Month-to-month,58.46,56.7,119.5,1,4.49,54.94,2496.96,1,Bank transfer,0
100003,43,Female,North,26,Two year,29.54,16.88,48.1,0,5.13,45.57,1072.65,0,Credit card,1
100004,42,Male,North,64,Month-to-month,21.48,24.28,134.4,0,1.37,36.09,2322.77,0,Bank transfer,0
100005,66,Male,South,6,Month-to-month,55.53,48.18,93.4,1,5.14,87.07,480.09,0,Bank transfer,1
100006,22,Male,East,20,Month-to-month,19.87,20.83,318.7,0,0.85,42.1,776.56,0,Digital wallet,0
100007,57,Female,West,71,Two year,32.89,34.68,,1,2.72,48.8,3226.33,0,Digital wallet,0
100008,29,Male,West,35,Month-to-month,14.56,16.05,79.5,2,4.07,77.85,2468.66,1,Bank transfer,0
100009,23,Male,West,13,Month-to-month,37.84,21.04,30.4,0,3.33,56.84,774.53,0,Credit card,0
100010,48,Male,West,30,Month-to-month,35.23,12.59,106.0,1,4.62,68.79,2058.7,0,Digital wallet,0
100011,73,Female,East,19,Month-to-month,26.02,25.79,86.2,0,0.96,33.57,660.52,0,Mailed check,0
100012,59,Female,North,38,Two year,38.3,35.32,112.5,1,2.23,15.0,525.43,1,Credit card,1
100013,61,Female,East,17,One year,17.08,14.74,102.4,1,2.2,97.12,1682.96,1,Digital wallet,1
100014,58,Female,North,29,Month-to-month,22.64,22.41,322.1,1,4.21,93.97,2490.15,0,Credit card,0
100015,62,Male,North,65,Two year,33.9,33.43,141.9,0,2.15,58.83,3519.29,2,Credit card,0
100016,47,Male,North,6,Month-to-month,16.17,9.57,169.8,1,2.85,67.63,418.43,0,Digital wallet,1
100017,25,Male,West,55,Two year,41.7,39.91,114.6,0,2.11,41.5,2115.18,0,Credit card,0
100018,65,Female,East,6,Month-to-month,27.6,14.36,125.6,0,3.04,58.47,358.07,1,Credit card,1
100019,43,Female,West,33,Month-to-month,31.12,9.62,112.0,0,1.37,125.58,4297.08,2,Credit card,1
100020,46,Male,West,48,Two year,38.32,39.89,113.3,0,0.82,109.81,4773.67,1,Bank transfer,1
100021,39,Male,West,68,Two year,17.19,17.35,74.8,2,1.75,72.04,5096.94,0,Bank transfer,0
100022,28,Male,North,18,One year,25.62,22.67,167.3,0,1.12,17.44,308.42,1,Bank transfer,1
100023,70,Female,West,4,One year,36.93,31.92,,0,2.2,78.08,309.92,0,Mailed check,0
100024,62,Male,West,54,Two year,22.73,4.88,114.5,0,3.67,58.4,3234.99,0,Credit card,0
100025,54,Female,West,64,One year,24.15,13.96,57.7,0,0.49,54.67,3501.43,0,Mailed check,0
100026,40,Male,North,41,Month-to-month,69.11,77.21,189.9,0,1.88,64.86,2777.81,0,Credit card,0
100027,64,Female,North,5,Month-to-month,27.01,28.97,256.8,0,5.76,113.22,587.48,0,Credit card,0
100028,49,Female,West,36,One year,24.48,24.21,77.6,1,0.1,68.71,2319.42,0,Credit card,0
100029,43,Male,North,28,One year,59.02,16.69,49.1,1,0.82,89.95,2546.34,1,Digital wallet,1
100030,43,Female,South,33,Two year,6.5,1.67,157.1,1,2.95,75.71,2393.31,2,Bank transfer,0
100031,30,Female,South,4,Month-to-month,32.18,32.15,116.7,0,0.1,74.92,274.96,0,Bank transfer,0
100032,23,Female,North,23,Month-to-month,36.99,15.17,148.8,3,2.3,81.73,1777.33,0,Bank transfer,1
100033,49,Female,North,71,Month-to-month,25.64,22.67,109.2,1,5.01,54.64,3520.83,0,Bank transfer,0
100034,68,Male,West,4,Two year,9.21,6.09,95.4,0,1.56,31.17,122.02,1,Credit card,0
100035,21,Male,West,65,Month-to-month,21.19,19.69,60.4,2,1.16,104.99,6145.71,1,Digital wallet,1
100036,66,Female,West,37,Two year,11.37,12.48,137.7,0,0.1,27.0,925.27,0,Bank transfer,0
100037,65,Male,North,42,Month-to-month,23.2,12.97,44.0,0,1.18,72.32,3187.39,2,Bank transfer,1
100038,33,Male,North,67,Month-to-month,33.76,29.97,166.9,0,2.14,110.47,7705.28,0,Bank transfer,0
100039,54,Male,South,16,Two year,25.89,22.82,160.6,2,5.7,73.74,1168.38,0,Mailed check,0
100040,27,Male,South,70,Month-to-month,23.75,24.17,134.6,0,2.22,80.15,5877.68,0,Digital wallet,0
100041,61,Male,North,20,Two year,26.87,29.61,217.7,1,2.29,80.15,1554.16,0,Digital wallet,1
100042,57,Male,West,25,Month-to-month,55.91,53.89,90.1,0,2.43,94.26,2291.68,0,Digital wallet,0
100043,38,Female,West,32,Month-to-month,19.34,20.19,88.2,1,1.19,99.07,3064.07,0,Mailed check,0
100044,21,Female,South,43,One year,35.89,21.5,84.1,2,0.1,29.29,1140.29,0,Credit card,0
100045,73,Male,South,23,Two year,45.1,50.54,120.1,0,4.66,97.94,2142.99,1,Mailed check,1
100046,43,Male,South,57,Month-to-month,11.76,3.94,100.4,1,3.41,63.51,3543.56,0,Digital wallet,1
100047,68,Female,North,2,Month-to-month,38.95,43.53,82.3,1,4.17,46.13,90.14,0,Digital wallet,0
100048,56,Male,North,48,One year,27.87,27.6,86.7,2,2.85,38.16,1788.09,0,Bank transfer,0
100049,62,Male,South,47,Two year,58.26,35.97,131.0,1,4.24,71.47,3202.66,0,Credit card,0
100050,61,Male,South,38,Two year,51.62,21.05,205.6,0,0.18,51.07,1955.02,0,Bank transfer,0
100051,29,Male,South,44,Two year,25.98,24.39,73.6,1,2.58,66.93,3070.39,0,Digital wallet,0
100052,38,Male,West,54,Month-to-month,31.21,31.9,20.2,0,3.27,64.96,3578.25,2,Credit card,1
100053,44,Male,North,65,One year,23.68,26.69,155.1,1,4.48,72.33,4458.91,0,Digital wallet,0
100054,46,Female,North,16,Two year,45.32,47.77,57.8,1,3.12,84.95,1281.61,0,Digital wallet,0
100055,20,Female,North,34,Two year,37.11,42.18,205.3,0,3.13,94.47,3316.87,0,Credit card,1
100056,49,Male,North,40,Two year,25.21,25.81,170.5,0,2.84,93.94,3504.24,0,Credit card,0
100057,26,Female,East,25,Two year,26.59,18.34,179.2,0,0.28,102.97,2362.18,0,Bank transfer,1
100058,60,Female,West,70,Two year,22.83,19.55,112.5,0,1.61,58.49,3848.12,0,Credit card,0
100059,56,Male,West,37,Month-to-month,50.5,49.71,199.3,0,1.74,46.73,1695.62,0,Bank transfer,0
100060,70,Male,East,43,Month-to-month,29.19,32.72,136.8,1,3.75,62.89,2436.96,0,Bank transfer,0
100061,60,Female,South,14,Two year,17.25,14.83,130.4,1,3.27,52.77,686.64,0,Digital wallet,0
100062,38,Male,North,30,Month-to-month,43.03,44.55,117.7,0,4.76,32.19,906.18,0,Mailed check,0
100063,73,Male,South,45,Month-to-month,7.22,3.5,145.4,0,3.23,58.58,2593.2,1,Mailed check,1
100064,41,Male,South,31,Month-to-month,25.72,24.78,38.9,0,2.18,82.19,2571.78,0,Bank transfer,0
100065,36,Male,West,55,One year,49.04,24.67,81.6,0,4.42,95.26,5487.36,0,Mailed check,0
100066,69,Male,South,10,Two year,63.59,61.75,81.7,0,0.63,62.65,582.6,2,Credit card,1
100067,39,Male,North,11,Two year,29.62,30.22,102.3,0,2.06,92.03,,0,Mailed check,0
100068,22,Male,North,25,Month-to-month,35.69,23.47,55.8,1,1.08,65.16,1521.92,0,Bank transfer,0
100069,44,Female,North,23,Month-to-month,21.77,14.68,71.3,0,0.82,15.0,341.44,0,Digital wallet,1
100070,63,Male,West,58,Month-to-month,75.95,15.86,46.5,0,0.87,31.0,1687.09,0,Bank transfer,0
100071,28,Female,North,62,Two year,32.48,31.61,70.8,0,1.51,75.19,4520.19,0,Digital wallet,0
100072,44,Female,North,34,Month-to-month,34.86,39.25,62.0,0,2.79,19.73,651.84,0,Bank transfer,1
100073,25,Female,,36,One year,2.84,0.9,69.7,0,1.97,31.62,1187.91,1,Digital wallet,0
100074,57,Female,West,21,One year,22.93,21.58,172.6,1,2.89,26.88,529.97,0,Digital wallet,0
100075,45,Male,South,38,One year,36.49,39.33,104.1,2,2.83,59.75,2324.39,2,Credit card,0
100076,36,Male,East,51,One year,11.8,10.36,93.7,1,0.1,70.92,3651.16,0,Bank transfer,0
100077,30,Male,South,52,One year,29.17,27.71,216.7,0,2.73,22.25,1136.27,0,Bank transfer,0
100078,50,Female,North,69,One year,60.9,54.65,132.1,0,1.37,83.87,5823.88,1,Credit card,0
100079,56,Female,West,42,Month-to-month,48.51,24.6,138.3,1,0.1,65.22,2612.11,0,Credit card,0
100080,71,Female,North,25,Month-to-month,34.12,31.26,117.9,1,2.84,31.92,793.57,1,Mailed check,1
100081,42,Male,North,5,Month-to-month,27.11,27.63,174.9,0,2.6,65.94,303.95,1,Digital wallet,1
100082,27,Male,East,49,Month-to-month,12.9,12.29,190.4,1,2.72,46.06,2298.27,0,Credit card,0
100083,65,Female,North,58,One year,26.72,23.1,129.0,0,3.54,45.7,2519.01,0,Credit card,0
100084,53,Female,North,40,Month-to-month,42.6,47.25,173.7,0,1.48,33.28,1394.91,0,Credit card,1
100085,57,Female,West,66,Two year,16.35,17.21,145.2,0,1.01,64.51,4109.41,0,Credit card,0
100086,23,Male,South,23,Month-to-month,40.22,45.71,131.9,1,2.44,58.68,1403.03,0,Digital wallet,0
100087,35,Male,North,4,One year,31.18,6.29,88.8,2,1.81,58.44,219.49,0,Credit card,1
100088,61,Male,South,45,Month-to-month,12.05,13.13,68.6,1,6.55,61.79,2624.23,0,Bank transfer,0
100089,65,Female,East,9,Month-to-month,12.77,13.0,39.6,0,2.26,70.84,650.54,2,Digital wallet,1
100090,42,Male,North,6,Month-to-month,0.59,0.21,250.4,1,2.45,59.95,371.3,0,Bank transfer,1
100091,63,Female,North,50,One year,31.5,31.12,174.7,1,1.13,15.28,743.57,1,Mailed check,0
100092,65,Male,East,31,Month-to-month,53.41,60.56,83.3,1,0.87,63.75,1797.58,0,Credit card,0
100093,40,Male,East,43,One year,25.71,25.13,34.6,0,0.1,40.75,1668.88,2,Mailed check,0
100094,69,Male,West,54,One year,63.04,18.8,145.8,0,1.92,93.03,5127.92,0,Mailed check,1
100095,34,Female,South,28,Two year,14.18,14.37,90.7,0,2.09,75.63,2058.12,1,Bank transfer,0
100096,31,Female,North,44,One year,27.91,26.51,179.9,0,4.04,89.66,3975.68,1,Digital wallet,1
100097,56,Female,South,39,One year,37.55,17.34,59.2,0,2.01,51.28,1913.45,0,Mailed check,0
100098,54,Female,East,42,Two year,31.25,29.2,81.4,0,1.78,87.24,3315.8,1,Mailed check,1
100099,25,Male,North,50,Month-to-month,24.77,27.34,96.4,0,2.73,36.95,1850.23,1,Bank transfer,1
100100,65,Male,East,28,One year,30.88,28.53,157.4,0,2.21,64.44,1704.43,0,Mailed check,0
100101,29,Female,North,36,Month-to-month,25.97,23.2,72.2,1,3.8,42.19,,0,Credit card,0
100102,63,Male,West,42,One year,38.79,41.44,,0,4.51,79.85,3477.2,0,Bank transfer,0
100103,18,Male,West,10,Month-to-month,25.83,12.88,41.2,1,2.3,107.99,1007.87,1,Mailed check,0
100104,63,Female,South,16,Month-to-month,9.52,10.49,104.7,1,0.89,73.71,1123.32,1,Mailed check,1
100105,62,Female,West,7,One year,21.24,23.96,231.9,0,2.13,27.58,178.28,0,Digital wallet,0
100106,62,Male,West,15,Month-to-month,22.98,24.13,286.8,0,,48.06,652.77,0,Credit card,1
100107,55,Female,North,32,Month-to-month,33.67,32.14,,0,0.32,141.45,4353.79,1,Mailed check,1
100108,44,Female,South,67,Month-to-month,51.55,51.72,33.9,0,1.91,85.47,5238.63,0,Digital wallet,0
100109,58,Female,East,66,Two year,22.23,6.55,98.7,0,0.1,45.65,2847.03,0,Mailed check,0
100110,33,Female,North,55,Month-to-month,33.17,30.05,106.6,0,2.97,87.98,4971.35,0,Digital wallet,0
100111,62,Male,South,40,Month-to-month,66.24,60.52,,0,0.69,68.07,2468.09,0,Credit card,0
100112,49,Male,North,15,Two year,48.88,54.69,,0,1.86,130.64,1949.75,0,Digital wallet,0
100113,44,Female,West,26,Two year,11.69,12.91,56.7,0,2.12,66.75,1663.14,0,Bank transfer,0
100114,46,Male,South,55,Month-to-month,20.67,19.3,198.5,0,0.42,58.61,3090.12,0,Credit card,0
100115,50,Male,West,65,Month-to-month,4.72,2.21,266.9,1,2.42,63.19,4005.18,0,Credit card,0
100116,20,Female,South,69,Month-to-month,43.12,17.18,167.4,1,0.73,55.28,3630.17,0,Credit card,0
100117,25,Male,North,28,Two year,14.63,14.1,,0,4.58,47.11,1203.3,0,Credit card,0
100118,31,Female,West,35,Month-to-month,32.72,22.75,301.9,0,4.36,36.88,1333.2,0,Credit card,0
100119,24,Male,North,37,Month-to-month,31.09,7.23,176.0,1,4.12,53.01,1821.85,0,Bank transfer,0
100120,43,Male,North,4,Month-to-month,55.36,34.34,159.9,1,2.58,84.22,337.77,0,Credit card,1
100121,56,Female,South,9,One year,34.65,39.42,260.5,0,2.87,58.58,534.03,1,Credit card,0
100122,55,Female,East,4,Month-to-month,28.44,19.9,178.7,0,2.1,50.58,188.37,0,Digital wallet,1
100123,44,Male,South,53,One year,40.81,39.49,101.0,0,3.17,31.85,1559.53,0,Credit card,0
100124,66,Male,North,16,Month-to-month,52.8,50.07,242.3,1,4.82,82.61,1370.6,2,Credit card,0
100125,50,Male,South,50,One year,0.0,0.0,60.6,0,0.9,105.23,4755.63,0,Credit card,1
100126,22,Male,North,27,Two year,25.95,14.02,68.2,0,3.03,43.81,1141.99,1,Bank transfer,0
100127,61,Female,North,57,Month-to-month,62.01,16.37,78.6,2,0.1,49.07,2546.47,0,Mailed check,0
100128,50,Male,South,9,Month-to-month,77.07,70.15,118.5,0,1.75,196.74659691918603,364.06,0,Digital wallet,1
100129,54,Male,North,24,Month-to-month,16.92,6.35,129.0,0,2.27,85.46,1904.77,0,Credit card,1
100130,50,Male,North,15,One year,40.53,39.41,97.0,0,2.84,91.05,,0,Bank transfer,0
100131,49,Male,East,31,Month-to-month,18.71,17.95,100.0,0,3.38,68.83,2021.02,0,Bank transfer,0
100132,23,Female,East,40,One year,18.24,19.53,132.7,3,4.33,35.29,1439.32,0,Credit card,0
100133,49,Male,North,12,Month-to-month,25.08,23.93,60.7,0,0.26,74.75,857.62,0,Credit card,0
100134,63,Female,South,48,One year,52.75,52.09,152.2,0,3.67,70.86,3331.8,1,Bank transfer,0
100135,35,Male,North,69,One year,24.61,23.29,18.7,1,,73.34,5068.11,1,Digital wallet,1
100136,52,Male,West,4,Month-to-month,42.14,39.86,109.3,0,1.81,38.89,155.68,0,Credit card,0
100137,19,Female,North,7,Month-to-month,56.03,51.85,78.3,2,1.62,37.2,267.56,1,Credit card,0
100138,37,Male,North,68,One year,23.81,23.8,295.0,1,2.68,24.41,1573.0,0,Credit card,0
100139,42,Male,South,47,Month-to-month,26.11,25.56,92.4,2,2.27,93.81,4290.54,0,Bank transfer,0
100140,74,Male,North,66,One year,30.0,26.02,118.9,1,2.17,94.61,6402.07,0,Credit card,0
100141,30,Male,North,51,Two year,26.26,29.65,95.3,0,4.65,24.54,1186.66,1,Digital wallet,0
100142,33,Female,North,51,Month-to-month,26.1,24.92,53.6,2,6.07,45.05,2140.19,0,Bank transfer,1
100143,41,Female,East,12,Month-to-month,35.64,38.39,52.1,0,2.01,45.18,510.55,1,Digital wallet,1
100144,74,Male,East,37,Month-to-month,31.27,35.08,46.0,1,5.97,87.73,3081.32,0,Digital wallet,0
100145,66,Female,East,26,Month-to-month,15.58,13.3,108.4,0,1.97,67.16,1612.86,0,Bank transfer,1
100146,19,Female,West,60,Two year,68.42,60.69,90.2,2,3.63,103.56,5761.92,0,Bank transfer,0
100147,31,Female,South,4,Two year,27.98,25.38,,2,0.93,57.72,209.6,0,Bank transfer,1
100148,64,Male,West,2,Month-to-month,8.52,9.51,273.3,0,1.17,31.5,58.81,0,Digital wallet,1
100149,21,Female,East,40,Two year,43.88,44.49,160.0,1,2.01,46.59,1930.77,0,Digital wallet,0
100150,66,Male,West,69,Month-to-month,15.26,4.44,120.3,1,3.75,42.25,2891.01,0,Digital wallet,0
100151,34,Female,East,71,Two year,41.53,39.17,24.4,2,2.81,91.29,6155.19,0,Digital wallet,1
100152,70,Female,South,43,Two year,16.95,14.64,138.2,1,0.1,113.07,4960.1,0,Credit card,0
100153,34,Male,North,31,Month-to-month,76.26,37.5,116.3,0,,77.26,2370.81,0,Digital wallet,0
100154,42,Male,South,20,One year,55.56,47.82,178.8,1,0.1,47.57,882.87,0,Mailed check,1
100155,55,Female,North,71,One year,29.73,19.95,69.1,0,2.98,71.41,5035.62,0,Credit card,0
100156,25,Male,South,14,Month-to-month,39.13,8.41,81.4,0,2.72,24.2,352.47,0,Bank transfer,0
100157,49,Female,North,9,Month-to-month,38.14,39.03,127.0,1,2.69,59.99,492.12,0,Digital wallet,0
100158,46,Female,North,37,One year,17.02,18.06,79.3,0,2.68,23.16,898.52,0,Digital wallet,0
100159,62,Male,West,28,Month-to-month,40.97,39.56,137.1,0,1.36,77.02,2078.13,0,Bank transfer,1
100160,74,Male,East,36,Month-to-month,33.87,31.71,52.6,0,2.75,60.84,2131.78,0,Credit card,1
100161,55,Male,East,65,Month-to-month,37.09,16.59,103.3,0,4.65,85.49,5020.18,0,Bank transfer,0
100162,41,Male,South,20,One year,34.3,37.46,69.8,2,3.35,83.55,1570.09,1,Credit card,0
100163,41,Male,East,63,Month-to-month,29.86,33.13,173.7,0,0.74,51.12,3080.55,0,Mailed check,0
100164,41,Male,West,16,Month-to-month,15.68,15.13,310.8,2,2.0,90.37,1511.25,2,Digital wallet,1
100165,64,Female,East,23,Month-to-month,42.12,23.66,268.2,1,1.56,35.4,822.96,0,Credit card,1
100166,36,Male,East,1,Month-to-month,51.09,54.9,,2,3.82,130.88,136.23,0,Credit card,1
100167,27,Female,South,49,One year,33.32,37.01,144.1,0,0.91,31.49,1558.21,0,Bank transfer,0
100168,37,Female,South,61,Month-to-month,41.61,40.12,69.1,0,,83.63,5239.92,0,Digital wallet,1
100169,19,Female,East,63,One year,37.11,33.33,51.6,0,1.98,96.09,5477.12,0,Bank transfer,0
100170,24,Female,West,12,Month-to-month,11.39,10.94,141.8,0,1.33,69.5,858.73,1,Mailed check,0
