risk_rank,customer_id,churn_probability,risk_band,contract_type,tenure_months,monthly_charges,usage_trend,support_tickets_last_90d,late_payments_last_6m,suggested_review_reasons
1,103143,0.9613,Critical,Month-to-month,5,96.0,-0.5657099697885196,1,2,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 57% recently | 1 support ticket(s) / 90d
2,104175,0.9535,Critical,Month-to-month,6,67.37,-0.555072463768116,2,2,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 56% recently | 2 support ticket(s) / 90d
3,102931,0.9524,Critical,Month-to-month,6,67.87,-0.5042412818096136,3,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 50% recently | High support load (3 tickets / 90d)
4,105602,0.9521,Critical,Month-to-month,4,15.0,-0.6917040358744394,2,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 69% recently | 2 support ticket(s) / 90d
5,103432,0.9507,Critical,Month-to-month,9,99.9,-0.6272784412319297,3,0,Month-to-month contract (no lock-in) | Usage down 63% recently | High support load (3 tickets / 90d)
6,100478,0.9459,Critical,Month-to-month,8,48.2,-0.6029411764705882,3,1,Month-to-month contract (no lock-in) | Usage down 60% recently | High support load (3 tickets / 90d) | 1 late payment(s) in last 6mo
7,105030,0.9428,Critical,Month-to-month,10,72.83,-0.7451131687242798,3,0,Month-to-month contract (no lock-in) | Usage down 75% recently | High support load (3 tickets / 90d)
8,101802,0.9367,Critical,Month-to-month,1,73.06,-0.7111390811831341,1,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 71% recently | 1 support ticket(s) / 90d
9,104058,0.9362,Critical,Month-to-month,2,66.88,-0.540983606557377,3,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 54% recently | High support load (3 tickets / 90d)
10,104767,0.9317,Critical,Month-to-month,8,81.27,-0.0009528346831824476,2,2,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
11,100509,0.9306,Critical,Month-to-month,4,99.56,-0.7400232468035645,2,0,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 74% recently | 2 support ticket(s) / 90d
12,103009,0.9295,Critical,Month-to-month,10,78.61,-0.5805369127516778,0,2,Month-to-month contract (no lock-in) | Usage down 58% recently | 2 late payment(s) in last 6mo
13,105472,0.9245,Critical,Month-to-month,7,76.7,-0.4056731202161189,2,1,Month-to-month contract (no lock-in) | Usage down 41% recently | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
14,103085,0.9225,Critical,Month-to-month,12,142.002827893254,-0.7517299116430144,0,1,Month-to-month contract (no lock-in) | Usage down 75% recently | 1 late payment(s) in last 6mo
15,104448,0.9214,Critical,Two year,3,83.88,-0.7517299116430144,1,2,New customer (tenure <= 6 months) | Usage down 75% recently | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
16,103373,0.921,Critical,Month-to-month,37,47.74,-0.6006137658921525,3,2,Month-to-month contract (no lock-in) | Usage down 60% recently | High support load (3 tickets / 90d) | 2 late payment(s) in last 6mo
17,100483,0.9207,Critical,Month-to-month,16,113.39,-0.12664576802507835,3,1,Month-to-month contract (no lock-in) | Usage declining (-13%) | High support load (3 tickets / 90d) | 1 late payment(s) in last 6mo
18,105559,0.9203,Critical,Month-to-month,1,89.29,-0.10431935131763613,2,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage declining (-10%) | 2 support ticket(s) / 90d
19,103971,0.9187,Critical,Month-to-month,27,108.86,-0.10260457774269935,2,2,Month-to-month contract (no lock-in) | Usage declining (-10%) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
20,103134,0.9153,Critical,Two year,8,72.02,-0.4725274725274725,2,2,Usage down 47% recently | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
21,100264,0.9134,Critical,Month-to-month,35,94.19,-0.1273077982915403,3,2,Month-to-month contract (no lock-in) | Usage declining (-13%) | High support load (3 tickets / 90d) | 2 late payment(s) in last 6mo
22,103231,0.9128,Critical,Month-to-month,10,98.71,-0.11490837048043587,1,2,Month-to-month contract (no lock-in) | Usage declining (-11%) | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
23,103154,0.9117,Critical,Month-to-month,4,69.47,-0.6982386174808906,1,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 70% recently | 1 support ticket(s) / 90d
24,102666,0.911,Critical,Month-to-month,22,88.8,-0.5942331801086502,2,1,Month-to-month contract (no lock-in) | Usage down 59% recently | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
25,100164,0.9106,Critical,Month-to-month,16,90.37,-0.03297362110311744,2,2,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
26,104008,0.9101,Critical,Month-to-month,17,125.27,-0.5929179978700746,1,1,Month-to-month contract (no lock-in) | Usage down 59% recently | 1 support ticket(s) / 90d | 1 late payment(s) in last 6mo
27,102447,0.9066,Critical,Month-to-month,16,51.57,-0.47831978319783197,1,2,Month-to-month contract (no lock-in) | Usage down 48% recently | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
28,100019,0.9066,Critical,Month-to-month,33,125.58,-0.6693648816936487,0,2,Month-to-month contract (no lock-in) | Usage down 67% recently | 2 late payment(s) in last 6mo
29,104173,0.9058,Critical,Month-to-month,1,55.55,-0.3680617393885426,2,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage down 37% recently | 2 support ticket(s) / 90d
30,102822,0.9056,Critical,Month-to-month,23,37.27,-0.6190476190476191,3,1,Month-to-month contract (no lock-in) | Usage down 62% recently | High support load (3 tickets / 90d) | 1 late payment(s) in last 6mo
31,100721,0.9048,Critical,Month-to-month,4,80.48,-0.06719475553127563,2,1,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | 2 support ticket(s) / 90d | 1 late payment(s) in last 6mo
32,102792,0.9043,Critical,Month-to-month,3,117.84,-0.12595744680851068,0,2,Month-to-month contract (no lock-in) | New customer (tenure <= 6 months) | Usage declining (-13%) | 2 late payment(s) in last 6mo
33,104654,0.9033,Critical,Month-to-month,24,74.0,-0.7435387673956263,3,0,Month-to-month contract (no lock-in) | Usage down 74% recently | High support load (3 tickets / 90d)
34,103450,0.9029,Critical,Month-to-month,15,81.55,-0.047092198581560184,2,2,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
35,103557,0.9028,Critical,Month-to-month,12,105.14,-0.5138083873167405,0,1,Month-to-month contract (no lock-in) | Usage down 51% recently | 1 late payment(s) in last 6mo
36,103507,0.9025,Critical,Month-to-month,7,104.34,-0.7185494223363287,1,0,Month-to-month contract (no lock-in) | Usage down 72% recently | 1 support ticket(s) / 90d
37,105867,0.8965,Critical,Month-to-month,7,59.77,0.08377155435978977,2,2,Month-to-month contract (no lock-in) | 2 support ticket(s) / 90d | 2 late payment(s) in last 6mo
38,101037,0.8964,Critical,Month-to-month,8,87.4,-0.5968788001621402,0,1,Month-to-month contract (no lock-in) | Usage down 60% recently | 1 late payment(s) in last 6mo
39,102919,0.8957,Critical,Month-to-month,35,83.26,-0.7517299116430144,1,2,Month-to-month contract (no lock-in) | Usage down 75% recently | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
40,104042,0.8947,Critical,One year,6,55.7,-0.6218938885157825,1,2,New customer (tenure <= 6 months) | Usage down 62% recently | 1 support ticket(s) / 90d | 2 late payment(s) in last 6mo
