machine_id,hour,operating_hours,hours_since_maintenance,temperature_c,vibration_mm_s,pressure_kpa,failure_event
1,0,0,1,65.11,0.611,100.77,0
1,1,1,2,63.88,0.509,102.89,0
1,2,2,3,65.19,0.338,101.93,0
1,3,3,4,66.25,0.289,100.86,0
1,4,4,5,61.58,0.295,97.4,0
1,5,5,6,64.58,0.298,102.68,0
1,6,6,7,65.28,0.428,95.71,0
1,7,7,8,64.03,0.444,102.28,0
1,8,8,9,62.25,0.393,99.55,0
1,9,9,10,63.54,0.577,99.98,0
1,10,10,11,64.94,0.556,100.54,0
1,11,11,12,64.8,0.463,102.16,0
1,12,12,13,62.79,0.459,105.4,0
1,13,13,14,62.22,0.553,102.3,0
1,14,14,15,63.85,0.69,103.91,0
1,15,15,16,62.84,0.459,103.44,0
1,16,16,17,64.66,0.532,101.83,0
1,17,17,18,66.2,0.623,100.31,0
1,18,18,19,65.37,0.394,102.32,0
1,19,19,20,62.86,0.38,101.51,0
1,20,20,21,66.62,0.587,98.69,0
1,21,21,22,63.57,0.528,97.02,0
1,22,22,23,64.17,0.438,105.14,0
1,23,23,24,66.24,0.411,101.08,0
1,24,24,25,64.55,0.633,100.93,0
1,25,25,26,64.45,0.492,101.7,0
1,26,26,27,64.64,0.316,101.97,0
1,27,27,28,64.2,0.59,103.63,0
1,28,28,29,64.96,0.53,101.15,0
1,29,29,30,66.89,0.449,103.46,0
1,30,30,31,62.68,0.492,97.78,0
1,31,31,32,61.34,0.413,99.75,0
1,32,32,33,65.3,0.719,99.92,0
1,33,33,34,63.88,0.475,103.23,0
1,34,34,35,64.68,0.425,103.76,0
1,35,35,36,65.94,0.326,101.8,0
1,36,36,37,65.06,0.323,102.65,0
1,37,37,38,63.46,0.567,102.48,0
1,38,38,39,65.16,0.379,101.7,0
1,39,39,40,61.4,0.314,102.91,0
1,40,40,41,61.17,0.552,97.63,0
1,41,41,42,66.36,0.349,103.95,0
1,42,42,43,65.24,0.266,105.12,0
1,43,43,44,67.6,0.442,101.32,0
1,44,44,45,64.71,0.333,104.75,0
1,45,45,46,64.02,0.444,100.02,0
1,46,46,47,63.87,0.297,105.14,0
1,47,47,48,64.72,0.566,102.03,0
1,48,48,49,63.75,0.411,100.6,0
1,49,49,50,65.01,0.405,101.25,0
1,50,50,51,62.52,0.353,106.14,0
1,51,51,52,63.79,0.324,102.84,0
1,52,52,53,67.53,0.276,101.48,0
1,53,53,54,63.86,0.239,103.84,0
1,54,54,55,64.96,0.459,100.12,0
