machine_id,hour,risk_score,alert,temperature_c,vibration_mm_s,pressure_kpa,hours_since_maintenance
1,2159,0.0001,🟢 OK,63.05,0.517,101.57,76
2,2159,0.0001,🟢 OK,64.18,0.777,100.81,360
10,2159,0.0001,🟢 OK,64.83,0.258,101.34,281
8,2159,0.0001,🟢 OK,64.79,0.554,98.4,505
6,2159,0.0001,🟢 OK,64.82,0.351,101.47,329
4,2159,0.0001,🟢 OK,63.0,0.409,103.64,634
14,2159,0.0001,🟢 OK,65.13,0.598,101.28,183
9,2159,0.0001,🟢 OK,61.91,0.499,102.14,169
11,2159,0.0001,🟢 OK,65.52,0.4,100.63,108
7,2159,0.0001,🟢 OK,64.77,0.326,102.73,284
12,2159,0.0001,🟢 OK,63.97,0.343,97.48,197
13,2159,0.0001,🟢 OK,65.92,0.383,100.45,29
3,2159,0.0001,🟢 OK,64.38,0.466,103.65,98
5,2159,0.0001,🟢 OK,65.9,0.323,103.85,436
15,2159,0.0001,🟢 OK,64.95,0.485,100.59,354
