machine_id,hour,label,time_to_failure_h,failure_event,temperature_c,vibration_mm_s,pressure_kpa,hours_since_maintenance,risk_score
1,3,0,430.0,0,66.25,0.289,100.86,4,0.0001
1,4,0,429.0,0,61.58,0.295,97.4,5,0.0001
1,5,0,428.0,0,64.58,0.298,102.68,6,0.0001
1,6,0,427.0,0,65.28,0.428,95.71,7,0.0001
1,7,0,426.0,0,64.03,0.444,102.28,8,0.0001
1,8,0,425.0,0,62.25,0.393,99.55,9,0.0001
1,9,0,424.0,0,63.54,0.577,99.98,10,0.0001
1,10,0,423.0,0,64.94,0.556,100.54,11,0.0001
1,11,0,422.0,0,64.8,0.463,102.16,12,0.0001
1,12,0,421.0,0,62.79,0.459,105.4,13,0.0001
1,13,0,420.0,0,62.22,0.553,102.3,14,0.0001
1,14,0,419.0,0,63.85,0.69,103.91,15,0.0001
1,15,0,418.0,0,62.84,0.459,103.44,16,0.0001
1,16,0,417.0,0,64.66,0.532,101.83,17,0.0001
1,17,0,416.0,0,66.2,0.623,100.31,18,0.0001
1,18,0,415.0,0,65.37,0.394,102.32,19,0.0001
1,19,0,414.0,0,62.86,0.38,101.51,20,0.0001
1,20,0,413.0,0,66.62,0.587,98.69,21,0.0001
1,21,0,412.0,0,63.57,0.528,97.02,22,0.0001
1,22,0,411.0,0,64.17,0.438,105.14,23,0.0001
1,23,0,410.0,0,66.24,0.411,101.08,24,0.0001
1,24,0,409.0,0,64.55,0.633,100.93,25,0.0001
1,25,0,408.0,0,64.45,0.492,101.7,26,0.0001
1,26,0,407.0,0,64.64,0.316,101.97,27,0.0001
1,27,0,406.0,0,64.2,0.59,103.63,28,0.0001
1,28,0,405.0,0,64.96,0.53,101.15,29,0.0001
1,29,0,404.0,0,66.89,0.449,103.46,30,0.0001
1,30,0,403.0,0,62.68,0.492,97.78,31,0.0001
1,31,0,402.0,0,61.34,0.413,99.75,32,0.0001
1,32,0,401.0,0,65.3,0.719,99.92,33,0.0001
1,33,0,400.0,0,63.88,0.475,103.23,34,0.0001
1,34,0,399.0,0,64.68,0.425,103.76,35,0.0001
1,35,0,398.0,0,65.94,0.326,101.8,36,0.0001
1,36,0,397.0,0,65.06,0.323,102.65,37,0.0001
1,37,0,396.0,0,63.46,0.567,102.48,38,0.0001
1,38,0,395.0,0,65.16,0.379,101.7,39,0.0001
1,39,0,394.0,0,61.4,0.314,102.91,40,0.0001
1,40,0,393.0,0,61.17,0.552,97.63,41,0.0001
1,41,0,392.0,0,66.36,0.349,103.95,42,0.0001
1,42,0,391.0,0,65.24,0.266,105.12,43,0.0001
1,43,0,390.0,0,67.6,0.442,101.32,44,0.0001
1,44,0,389.0,0,64.71,0.333,104.75,45,0.0001
1,45,0,388.0,0,64.02,0.444,100.02,46,0.0001
1,46,0,387.0,0,63.87,0.297,105.14,47,0.0001
1,47,0,386.0,0,64.72,0.566,102.03,48,0.0001
1,48,0,385.0,0,63.75,0.411,100.6,49,0.0001
1,49,0,384.0,0,65.01,0.405,101.25,50,0.0001
1,50,0,383.0,0,62.52,0.353,106.14,51,0.0001
1,51,0,382.0,0,63.79,0.324,102.84,52,0.0001
1,52,0,381.0,0,67.53,0.276,101.48,53,0.0001
1,53,0,380.0,0,63.86,0.239,103.84,54,0.0001
1,54,0,379.0,0,64.96,0.459,100.12,55,0.0001
1,55,0,378.0,0,65.82,0.385,101.64,56,0.0001
1,56,0,377.0,0,63.01,0.304,105.34,57,0.0001
1,57,0,376.0,0,64.09,0.485,101.92,58,0.0001
1,58,0,375.0,0,64.21,0.389,103.58,59,0.0001
1,59,0,374.0,0,64.46,0.432,102.06,60,0.0001
1,60,0,373.0,0,67.12,0.532,102.96,61,0.0001
1,61,0,372.0,0,63.99,0.284,104.37,62,0.0001
1,62,0,371.0,0,66.74,0.433,103.35,63,0.0001
1,63,0,370.0,0,66.41,0.55,104.3,64,0.0001
1,64,0,369.0,0,64.18,0.632,98.88,65,0.0001
1,65,0,368.0,0,66.55,0.509,104.18,66,0.0001
1,66,0,367.0,0,68.38,0.628,99.14,67,0.0001
1,67,0,366.0,0,61.96,0.548,99.46,68,0.0001
1,68,0,365.0,0,64.98,0.551,97.89,69,0.0001
1,69,0,364.0,0,61.2,0.481,102.11,70,0.0001
1,70,0,363.0,0,64.56,0.455,99.85,71,0.0001
1,71,0,362.0,0,62.28,0.43,99.57,72,0.0001
1,72,0,361.0,0,62.04,0.511,101.85,73,0.0001
1,73,0,360.0,0,65.73,0.331,100.35,74,0.0001
1,74,0,359.0,0,63.2,0.344,102.49,75,0.0001
1,75,0,358.0,0,63.59,0.493,102.85,76,0.0001
1,76,0,357.0,0,68.65,0.283,104.22,77,0.0001
1,77,0,356.0,0,64.84,0.448,98.38,78,0.0001
1,78,0,355.0,0,64.17,0.539,101.79,79,0.0001
1,79,0,354.0,0,65.15,0.415,104.89,80,0.0001
1,80,0,353.0,0,64.96,0.186,100.27,81,0.0001
1,81,0,352.0,0,61.46,0.06,100.67,82,0.0001
1,82,0,351.0,0,67.4,0.456,99.07,83,0.0001
1,83,0,350.0,0,63.31,0.586,102.39,84,0.0001
1,84,0,349.0,0,65.09,0.444,102.1,85,0.0001
1,85,0,348.0,0,66.45,0.516,102.54,86,0.0001
1,86,0,347.0,0,63.12,0.511,100.29,87,0.0001
1,87,0,346.0,0,66.97,0.297,101.66,88,0.0001
1,88,0,345.0,0,64.99,0.291,106.3,89,0.0001
1,89,0,344.0,0,67.63,0.394,103.93,90,0.0001
1,90,0,343.0,0,65.68,0.136,102.63,91,0.0001
1,91,0,342.0,0,64.89,0.46,99.31,92,0.0001
1,92,0,341.0,0,64.52,0.429,104.97,93,0.0001
1,93,0,340.0,0,65.6,0.449,105.82,94,0.0001
1,94,0,339.0,0,64.0,0.403,97.46,95,0.0001
1,95,0,338.0,0,67.82,0.566,104.29,96,0.0001
1,96,0,337.0,0,66.2,0.463,102.54,97,0.0001
1,97,0,336.0,0,64.55,0.426,102.14,98,0.0001
1,98,0,335.0,0,67.72,0.517,101.85,99,0.0001
1,99,0,334.0,0,63.96,0.374,106.01,100,0.0001
