user_id,product_id,event_type,event_weight,day
416,200,click,2,0
211,48,click,2,0
40,54,cart,3,0
326,43,view,1,0
442,92,cart,3,0
148,8,view,1,0
6,134,view,1,0
472,43,view,1,0
151,134,cart,3,0
286,81,click,2,0
288,160,cart,3,0
288,45,view,1,0
145,45,click,2,0
155,164,view,1,0
390,81,view,1,0
425,100,view,1,0
163,105,view,1,0
268,34,click,2,0
378,35,view,1,0
108,126,cart,3,0
301,89,click,2,0
301,160,click,2,0
80,15,purchase,5,0
450,155,view,1,0
74,50,view,1,0
435,81,click,2,0
74,160,view,1,0
298,198,purchase,5,0
300,150,click,2,0
141,4,cart,3,0
111,134,view,1,0
111,125,click,2,0
349,152,cart,3,0
78,120,view,1,0
258,168,click,2,0
464,105,cart,3,0
464,105,view,1,0
405,34,click,2,0
324,160,view,1,0
321,108,view,1,0
356,111,view,1,0
136,23,view,1,0
59,129,view,1,0
303,81,cart,3,0
460,181,cart,3,0
381,70,click,2,0
380,7,click,2,0
336,81,click,2,0
79,9,view,1,0
254,156,view,1,0
461,134,view,1,0
46,143,click,2,0
423,152,click,2,0
422,150,view,1,0
255,62,view,1,0
459,126,cart,3,0
231,29,view,1,0
418,43,view,1,0
491,35,purchase,5,0
490,190,cart,3,0
228,105,view,1,0
191,143,click,2,0
265,67,view,1,0
477,143,click,2,0
9,134,click,2,0
405,129,view,1,0
316,18,cart,3,0
406,107,view,1,0
358,86,cart,3,0
237,150,purchase,5,0
98,51,view,1,0
187,152,view,1,0
243,30,click,2,0
246,74,view,1,0
115,152,cart,3,0
333,164,click,2,0
94,105,view,1,0
289,86,purchase,5,0
495,67,click,2,0
495,70,click,2,0
222,43,view,1,0
336,81,view,1,0
9,189,cart,3,0
453,86,view,1,0
312,22,cart,3,0
40,67,cart,3,0
487,34,view,1,0
244,157,view,1,0
82,45,click,2,1
158,124,cart,3,1
112,67,view,1,1
431,200,cart,3,1
302,13,cart,3,1
268,174,cart,3,1
270,105,view,1,1
452,45,view,1,1
399,134,click,2,1
167,125,click,2,1
254,164,view,1,1
230,29,cart,3,1
166,180,cart,3,1
388,81,view,1,1
388,13,purchase,5,1
302,81,view,1,1
49,95,view,1,1
434,105,click,2,1
378,70,click,2,1
260,171,view,1,1
20,105,click,2,1
381,67,view,1,1
38,109,view,1,1
83,178,view,1,1
147,43,view,1,1
442,77,cart,3,1
227,177,view,1,1
192,34,view,1,1
332,18,click,2,1
213,134,view,1,1
218,94,view,1,1
121,134,view,1,1
413,54,click,2,1
152,88,cart,3,1
155,138,click,2,1
280,96,click,2,1
74,150,view,1,1
154,81,cart,3,1
283,129,view,1,1
18,81,click,2,1
244,22,click,2,1
457,16,cart,3,1
79,180,purchase,5,1
386,185,click,2,1
384,123,cart,3,1
113,129,click,2,1
399,106,cart,3,1
383,143,view,1,1
355,92,view,1,1
254,132,view,1,1
453,81,view,1,1
252,9,view,1,1
47,181,view,1,1
354,105,view,1,1
403,166,click,2,1
477,73,cart,3,1
192,134,view,1,1
228,105,click,2,1
7,107,click,2,1
192,134,click,2,1
448,95,view,1,1
334,5,view,1,1
487,174,view,1,1
454,121,view,1,1
187,84,view,1,1
436,164,view,1,1
98,7,view,1,1
243,30,view,1,1
35,134,view,1,1
131,22,view,1,1
307,9,click,2,1
13,149,purchase,5,1
369,134,view,1,1
94,29,purchase,5,1
369,152,click,2,1
209,51,view,1,1
94,105,purchase,5,1
441,200,click,2,1
220,5,click,2,1
49,67,cart,3,1
416,189,view,1,1
288,86,cart,3,1
148,164,view,1,1
62,3,cart,3,1
218,43,view,1,1
217,84,cart,3,1
217,167,purchase,5,2
213,29,view,1,2
424,4,view,1,2
286,88,click,2,2
225,180,view,1,2
197,105,click,2,2
333,90,view,1,2
447,88,purchase,5,2
448,67,cart,3,2
333,164,cart,3,2
236,166,view,1,2
235,70,view,1,2
35,134,click,2,2
131,81,click,2,2
293,99,click,2,2
138,43,cart,3,2
138,134,view,1,2
303,81,cart,3,2
302,20,view,1,2
302,143,click,2,2
302,81,cart,3,2
397,47,click,2,2
390,164,view,1,2
232,9,view,1,2
230,34,view,1,2
229,134,click,2,2
7,180,view,1,2
20,134,cart,3,2
476,160,view,1,2
165,85,view,1,2
260,126,view,1,2
354,61,view,1,2
100,157,view,1,2
46,180,view,1,2
255,81,click,2,2
19,45,purchase,5,2
476,160,click,2,2
46,81,click,2,2
104,164,view,1,2
350,86,cart,3,2
141,180,view,1,2
302,13,cart,3,2
377,84,view,1,2
394,134,view,1,2
